row,correct_answers,total_questions,accuracy
2,50,51,98.04
3,51,51,100.0
4,51,51,100.0
5,50,51,98.04
6,50,51,98.04
7,51,51,100.0
8,51,51,100.0
9,51,51,100.0
10,51,51,100.0
11,51,51,100.0
12,48,51,94.12
13,51,51,100.0
14,51,51,100.0
15,50,51,98.04
16,51,51,100.0
17,50,51,98.04
18,51,51,100.0
19,51,51,100.0
20,51,51,100.0
21,51,51,100.0
22,50,51,98.04
23,51,51,100.0
24,51,51,100.0
25,51,51,100.0
26,51,51,100.0
27,40,51,78.43
28,51,51,100.0
29,50,51,98.04
30,51,51,100.0
31,51,51,100.0
32,50,51,98.04
33,50,51,98.04
34,51,51,100.0
35,51,51,100.0
36,49,51,96.08
37,51,51,100.0
38,51,51,100.0
39,43,51,84.31
40,50,51,98.04
41,51,51,100.0
42,49,51,96.08
43,50,51,98.04
44,50,51,98.04
45,50,51,98.04
46,50,51,98.04
47,45,51,88.24
Overall,2300,2346,98.04
